Folder Path,traj.csv exists?,foodpatches_reviewed.mat exists?,traj.mat exists?,traj.mat empty?,Diagnosis of video,frames with zero worms,frames with one worm,frames with two or more worms,proportion of frames with multiple worms,final classification of the video
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221117T105413_SmallPatches_C5-CAM8,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T193611_SmallPatches_C3-CAM2,1,1,1,0,OK,7243,27403,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T143258_SmallPatches_C1-CAM3,1,1,1,0,OK,450,34140,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221014T191303_SmallPatches_C2-CAM7,1,1,1,0,OK,13107,21689,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM3,1,1,1,0,OK,4219,30119,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T103117_SmallPatches_C4-CAM5,1,0,1,0,WEIRD,64,5226,29400,0.8475064860190257,2+ worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221120T191902_SmallPatches_C5-CAM8,1,1,1,0,OK,2095,32532,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T192239_SmallPatches_C3-CAM1,1,1,1,0,OK,1126,33075,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T200026_SmallPatches_C4-CAM3,1,1,1,0,OK,278,34357,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T193945_SmallPatches_C5-CAM4,1,1,1,0,OK,0,34676,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T194409_SmallPatches_C5-CAM7,1,1,1,0,OK,705,33983,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221115T194416_SmallPatches_C6-CAM4,1,1,1,0,OK,408,33930,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221116T103117_SmallPatches_C4-CAM2,1,1,1,0,OK,2067,32652,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221125T143258_SmallPatches_C1-CAM4,1,1,1,0,OK,4376,30248,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221012T200721_SmallPatches_C3-CAM7,1,1,1,0,OK,1438,33186,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T200138_SmallPatches_C5-CAM6,1,1,1,0,OK,8387,26296,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221118T103541_SmallPatches_C3-CAM3,0,0,1,0,WEIRD,0,0,0,0.0,0 worms
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T193945_SmallPatches_C5-CAM3,1,1,1,0,OK,1049,33563,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221119T113745_SmallPatches_C2-CAM2,1,1,1,0,OK,1299,31991,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221013T200026_SmallPatches_C4-CAM4,1,1,1,0,OK,2799,31746,0,0.0,1 worm clean
/Users/benitaibrahim/Documents/PTUT/Minipatches_light_20260116/20221122T192239_SmallPatches_C3-CAM6,1,0,1,0,WEIRD,0,2762,31445,0.9192562925716958,2+ worms
