Folder Path;traj.csv exists?;foodpatches_reviewed.csv exists?;traj.mat exists?;traj.mat empty?;Diagnosis of video;frames with zero worms;frames with one worm;frames with two or more worms;proportion of frames with multiple worms;final classification of the video
Documents/PTUT/Minipatches_light_20260116/20221117T200322_SmallPatches_C4-CAM2;1;1;1;0;OK;20781;14292;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T200144_SmallPatches_C6-CAM3;1;1;1;0;OK;5600;29398;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T120115_SmallPatches_C3-CAM6;1;1;1;0;OK;560;34576;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113125_SmallPatches_C2-CAM4;1;1;1;0;OK;1247;33979;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T205844_SmallPatches_C5-CAM1;1;1;0;0;WEIRD;5492;29583;1;2.8509522180408255e-05;1 worm with errors
Documents/PTUT/Minipatches_light_20260116/20221016T113946_SmallPatches_C4-CAM1;1;1;0;0;WEIRD;1244;22547;11190;0.31988793916697633;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221126T112823_SmallPatches_C2-CAM5;1;1;1;0;OK;625;34554;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T112734_SmallPatches_C1-CAM7;1;1;1;0;OK;3342;31858;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221115T194401_SmallPatches_C4-CAM6;1;1;1;0;OK;9577;25509;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T115434_SmallPatches_C5-CAM4;1;1;1;0;OK;2035;31469;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T114429_SmallPatches_C6-CAM2;1;1;1;0;OK;10386;24637;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221118T104737_SmallPatches_C4-CAM4;1;1;1;0;OK;1921;33042;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T113025_SmallPatches_C1-CAM7;1;1;1;0;OK;10040;24278;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T205844_SmallPatches_C5-CAM8;1;1;1;0;OK;11609;18260;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T114809_SmallPatches_C3-CAM7;1;1;1;0;OK;1988;30994;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T104110_SmallPatches_C2-CAM7;1;1;0;0;WEIRD;2729;12280;20247;0.57428522804629;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221123T115703_SmallPatches_C3-CAM2;1;1;1;0;OK;5454;29703;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T115441_SmallPatches_C6-CAM2;1;1;1;0;OK;12241;21219;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T211451_SmallPatches_C5-CAM7;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221014T191156_SmallPatches_C1-CAM6;0;1;0;0;WEIRD;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221015T195406_SmallPatches_C2-CAM7;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221012T200743_SmallPatches_C2-CAM3;1;1;1;0;OK;4048;30951;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T201756_SmallPatches_C2-CAM4;1;1;1;0;OK;1856;26720;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T115703_SmallPatches_C3-CAM5;1;1;0;0;WEIRD;2738;29984;2368;0.06748361356511827;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221118T104737_SmallPatches_C4-CAM3;1;1;1;0;OK;6136;23958;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221126T114429_SmallPatches_C6-CAM5;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221115T194401_SmallPatches_C4-CAM1;1;1;1;0;OK;2124;29617;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221012T200743_SmallPatches_C2-CAM4;1;1;1;0;OK;2711;32298;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T201712_SmallPatches_C1-CAM8;1;1;1;0;OK;607;34549;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221013T115441_SmallPatches_C6-CAM5;1;1;1;0;OK;5581;27919;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T191156_SmallPatches_C1-CAM1;1;1;1;0;OK;3281;31853;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221120T191908_SmallPatches_C6-CAM3;1;1;1;0;OK;481;34622;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T113711_SmallPatches_C1-CAM4;1;1;1;0;OK;4100;31069;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T104032_SmallPatches_C1-CAM6;1;1;1;0;OK;2004;33165;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221122T193937_SmallPatches_C4-CAM3;1;1;1;0;OK;526;34632;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T105419_SmallPatches_C6-CAM3;0;1;0;1;NO WORM;0;0;0;0.0;0 worms
Documents/PTUT/Minipatches_light_20260116/20221123T120820_SmallPatches_C6-CAM3;1;1;1;0;OK;780;34394;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221016T203314_SmallPatches_C5-CAM4;1;1;1;0;OK;4917;30071;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221017T111428_SmallPatches_C1-CAM1;1;1;1;0;OK;661;34495;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221014T191245_SmallPatches_C3-CAM2;1;1;1;0;OK;6570;28451;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221110T193022_SmallPatches_C1-CAM8;1;1;1;0;OK;528;34462;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221121T121404_SmallPatches_C6-CAM4;1;1;1;0;OK;4103;30934;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221116T194402_SmallPatches_C4-CAM7;1;1;0;0;WEIRD;3742;29474;1844;0.052595550484883055;2+ worms
Documents/PTUT/Minipatches_light_20260116/20221013T114833_SmallPatches_C2-CAM3;1;1;1;0;OK;7890;25956;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221017T111428_SmallPatches_C1-CAM6;1;1;1;0;OK;570;34566;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T105419_SmallPatches_C6-CAM4;1;1;1;0;OK;2630;32420;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221011T192051_SmallPatches_C4-CAM1;1;1;1;0;OK;3616;31350;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221123T120820_SmallPatches_C6-CAM4;1;1;1;0;OK;470;34583;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221119T113711_SmallPatches_C1-CAM3;1;1;1;0;OK;4338;30867;0;0.0;1 worm clean
Documents/PTUT/Minipatches_light_20260116/20221117T104032_SmallPatches_C1-CAM1;1;1;1;0;OK;18342;16767;0;0.0;1 worm clean
